"m_sp"	"m_sf"	"sf_treatment"	"treatment"	"time"	"subsample"	"replicate"	"APN"	"DPP4"	"NEP"	"tot_sperm"	"HA"	"VCL"	"LIN"	"ALH"	"n_dead_sperm"	"tot_sperm_viab"	"number_motile_cells_int"
"7"	"1"	"foreign"	"SF"	"90"	"a"	"2"	3.74	10.72	0.77	122	0	52.9	33	0	932	4158	39
"1"	"1"	"own"	"SF"	"30"	"a"	"2"	3.74	10.72	0.77	155	0	66.2	56.3	0.9	NA	NA	63
"1"	"1"	"own"	"SF"	"30"	"a"	"1"	3.74	10.72	0.77	128	0	71.1	55.7	1	NA	NA	58
"1"	"1"	"own"	"SF"	"90"	"a"	"1"	3.74	10.72	0.77	116	0	53.4	39.8	0.9	754	4634	46
"1"	"1"	"own"	"SF"	"90"	"a"	"2"	3.74	10.72	0.77	122	0	56.6	40.5	0.8	736	4532	52
"8"	"1"	"foreign"	"SF"	"30"	"a"	"1"	3.74	10.72	0.77	128	0	56.4	42.3	0.7	NA	NA	24
"8"	"1"	"foreign"	"SF"	"30"	"a"	"2"	3.74	10.72	0.77	138	0	57.3	40.4	0	NA	NA	41
"8"	"1"	"foreign"	"SF"	"90"	"a"	"1"	3.74	10.72	0.77	142	0	63.9	36.4	1	1504	5830	30
"8"	"1"	"foreign"	"SF"	"90"	"a"	"2"	3.74	10.72	0.77	98	0	71.9	37.9	0.4	1331	5894	37
"2"	"1"	"foreign"	"SF"	"30"	"a"	"2"	3.74	10.72	0.77	162	0	65.4	45.4	0.4	NA	NA	26
"2"	"1"	"foreign"	"SF"	"30"	"a"	"1"	3.74	10.72	0.77	107	0	66.2	41.9	1	NA	NA	36
"2"	"1"	"foreign"	"SF"	"90"	"a"	"2"	3.74	10.72	0.77	122	0	60.5	36.3	0.4	1124	5101	26
"2"	"1"	"foreign"	"SF"	"90"	"a"	"1"	3.74	10.72	0.77	130	0	63.7	34.4	0	1242	5493	23
"9"	"1"	"foreign"	"SF"	"30"	"a"	"1"	3.74	10.72	0.77	114	0	82.6	46.3	1.1	NA	NA	31
"9"	"1"	"foreign"	"SF"	"30"	"a"	"2"	3.74	10.72	0.77	88	0	94.6	52.7	1.5	NA	NA	45
"9"	"1"	"foreign"	"SF"	"90"	"a"	"2"	3.74	10.72	0.77	112	0	70.8	43.6	0.7	480	2489	37
"9"	"1"	"foreign"	"SF"	"90"	"a"	"1"	3.74	10.72	0.77	102	0	82.4	45.1	1.1	467	2174	35
"3"	"1"	"foreign"	"SF"	"30"	"a"	"1"	3.74	10.72	0.77	107	0	51.7	32.7	0	NA	NA	18
"3"	"1"	"foreign"	"SF"	"30"	"a"	"2"	3.74	10.72	0.77	148	0	58.3	40	0.3	NA	NA	35
"3"	"1"	"foreign"	"SF"	"90"	"a"	"1"	3.74	10.72	0.77	130	0	50	42.5	0.4	1578	6654	24
"3"	"1"	"foreign"	"SF"	"90"	"a"	"2"	3.74	10.72	0.77	107	0	52.7	41	0.5	1220	5793	30
"4"	"1"	"foreign"	"SF"	"30"	"a"	"2"	3.74	10.72	0.77	192	0	68.9	53.3	0.9	NA	NA	109
"4"	"1"	"foreign"	"SF"	"30"	"a"	"1"	3.74	10.72	0.77	120	0	73.7	56	1	NA	NA	63
"4"	"1"	"foreign"	"SF"	"90"	"a"	"2"	3.74	10.72	0.77	158	0	61.8	39.7	0.5	1121	4732	82
"4"	"1"	"foreign"	"SF"	"90"	"a"	"1"	3.74	10.72	0.77	123	0	65.3	42.6	0.9	1005	4957	58
"5"	"1"	"foreign"	"SF"	"30"	"a"	"2"	3.74	10.72	0.77	106	1	72.2	52.8	1	NA	NA	52
"5"	"1"	"foreign"	"SF"	"30"	"a"	"1"	3.74	10.72	0.77	158	0	77.4	49.9	1.1	NA	NA	76
"5"	"1"	"foreign"	"SF"	"90"	"a"	"2"	3.74	10.72	0.77	111	0	73.1	46.9	1.1	637	4043	40
"5"	"1"	"foreign"	"SF"	"90"	"a"	"1"	3.74	10.72	0.77	96	0	75.9	44.8	0.7	680	4320	36
"5"	"2"	"foreign"	"SF"	"30"	"a"	"2"	3.76	9.24	1.52	149	2	87.1	47.6	0.9	NA	NA	76
"5"	"2"	"foreign"	"SF"	"30"	"a"	"1"	3.76	9.24	1.52	119	1	99.8	46.8	1	NA	NA	45
"5"	"2"	"foreign"	"SF"	"90"	"a"	"1"	3.76	9.24	1.52	135	0	73.9	42.3	0.6	376	1780	50
"5"	"2"	"foreign"	"SF"	"90"	"a"	"2"	3.76	9.24	1.52	112	0	77.4	45.8	0.8	428	1729	57
"7"	"2"	"foreign"	"SF"	"30"	"a"	"2"	3.76	9.24	1.52	115	0	66.6	37.3	0	NA	NA	32
"7"	"2"	"foreign"	"SF"	"30"	"a"	"1"	3.76	9.24	1.52	146	0	70.4	40.4	0.8	NA	NA	69
"7"	"2"	"foreign"	"SF"	"90"	"a"	"1"	3.76	9.24	1.52	143	0	44.1	35.1	0.3	1020	3613	30
"7"	"2"	"foreign"	"SF"	"90"	"a"	"2"	3.76	9.24	1.52	113	0	49.3	33.6	0	841	2794	24
"1"	"2"	"foreign"	"SF"	"30"	"a"	"2"	3.76	9.24	1.52	117	0	72.6	54.4	1	NA	NA	61
"1"	"2"	"foreign"	"SF"	"30"	"a"	"1"	3.76	9.24	1.52	159	1	78.3	47.8	1.1	NA	NA	79
"1"	"2"	"foreign"	"SF"	"90"	"a"	"2"	3.76	9.24	1.52	124	0	55.6	44.2	0.9	752	3716	48
"1"	"2"	"foreign"	"SF"	"90"	"a"	"1"	3.76	9.24	1.52	139	0	60.4	48.6	0.9	844	3775	49
"8"	"2"	"foreign"	"SF"	"30"	"a"	"1"	3.76	9.24	1.52	122	1	70	37.6	1.4	NA	NA	46
"8"	"2"	"foreign"	"SF"	"30"	"a"	"2"	3.76	9.24	1.52	132	1	74.6	41.6	0.9	NA	NA	55
"8"	"2"	"foreign"	"SF"	"90"	"a"	"2"	3.76	9.24	1.52	86	0	48.9	34.3	0	1127	4332	15
"8"	"2"	"foreign"	"SF"	"90"	"a"	"1"	3.76	9.24	1.52	141	0	60.4	35.5	0.3	1320	4412	30
"2"	"2"	"own"	"SF"	"30"	"a"	"1"	3.76	9.24	1.52	129	0	75.7	40.4	0	NA	NA	29
"2"	"2"	"own"	"SF"	"30"	"a"	"2"	3.76	9.24	1.52	114	1	77.4	48.1	1.2	NA	NA	34
"2"	"2"	"own"	"SF"	"90"	"a"	"2"	3.76	9.24	1.52	166	0	55.8	35.1	0	1003	3788	27
"2"	"2"	"own"	"SF"	"90"	"a"	"1"	3.76	9.24	1.52	109	0	57.2	31.8	0	931	3381	25
"9"	"2"	"foreign"	"SF"	"30"	"a"	"1"	3.76	9.24	1.52	143	3	99.2	53.5	1.3	NA	NA	61
